timestamp,symbol,Close,Volume,Bid,BidSize,Ask,AskSize,Spread,MarketStatus
2025-04-25 13:25:15.993288,AAPL,209.0701,19595800,209.08,22500,209.1,1000,0.0199999999999818,We're in business hours.
2025-04-25 13:25:15.993288,GOOG,164.925,23524707,164.92,47000,164.94,3500,0.0200000000000102,We're in business hours.
2025-04-25 13:25:15.993288,TSLA,286.045,112266076,286.02,100,286.07,6400,0.0500000000000113,We're in business hours.
2025-04-25 13:25:15.993288,MSFT,390.69,7342503,390.64,12500,390.73,2500,0.0900000000000318,We're in business hours.
2025-04-25 13:25:48.249786,AAPL,209.1234,19615755,209.11,15300,209.14,3500,0.0299999999999727,We're in business hours.
2025-04-25 13:25:48.249786,GOOG,164.9714,23593655,164.97,7000,164.99,28700,0.0200000000000102,We're in business hours.
2025-04-25 13:25:48.249786,TSLA,286.355,112439622,286.33,20000,286.38,3000,0.0500000000000113,We're in business hours.
2025-04-25 13:25:48.249786,MSFT,390.775,7353857,390.7,15000,390.82,17300,0.1200000000000045,We're in business hours.
2025-04-25 13:26:20.588729,AAPL,209.15,19644477,209.12,7500,209.15,16500,0.0300000000000011,We're in business hours.
2025-04-25 13:26:20.588729,GOOG,165.02,23615439,165.0,26600,165.03,8000,0.0300000000000011,We're in business hours.
2025-04-25 13:26:20.588729,TSLA,286.74,112750697,286.71,100,286.74,2700,0.0300000000000295,We're in business hours.
2025-04-25 13:26:20.588729,MSFT,390.695,7365139,390.64,16500,390.75,38300,0.1100000000000136,We're in business hours.
2025-04-25 13:26:52.710411,AAPL,209.215,19662751,209.2,27300,209.22,12500,0.0200000000000102,We're in business hours.
2025-04-25 13:26:52.710411,GOOG,164.98,23643061,164.99,20200,165.02,30000,0.0300000000000011,We're in business hours.
2025-04-25 13:26:52.710411,TSLA,286.4101,112980726,286.42,9600,286.47,5500,0.0500000000000113,We're in business hours.
2025-04-25 13:26:52.710411,MSFT,390.705,7373512,390.65,15600,390.73,3900,0.0800000000000409,We're in business hours.
