Symbol,Datetime,Open,High,Low,Close,Volume,Best_Bid_Size,Best_Ask_Size,Total_Bid_Depth,Total_Ask_Depth,Spread
PEPE-USD,2025-04-26 23:55:00-04:00,9.12e-06,9.15e-06,9.12e-06,9.15e-06,4027169251.0,2833278504.0,1804946664.0,317499515737.0,755554895373.0,9.999999999999904e-09
PEPE-USD,2025-04-27 00:00:00-04:00,9.15e-06,9.15e-06,9.13e-06,9.13e-06,447531912.0,1189187.0,3766367533.0,314621268766.0,766022928972.0,9.999999999999904e-09
PEPE-USD,2025-04-27 00:00:00-04:00,9.15e-06,9.15e-06,9.12e-06,9.13e-06,1024014998.0,49803193.0,3412481780.0,309093340672.0,760968679254.0,9.999999999999904e-09
PEPE-USD,2025-04-27 00:00:00-04:00,9.15e-06,9.15e-06,9.12e-06,9.12e-06,2789031813.0,9509537170.0,215515053.0,310106016398.0,760782272582.0,1.0000000000001598e-08
PEPE-USD,2025-04-27 00:00:00-04:00,9.15e-06,9.15e-06,9.11e-06,9.11e-06,3005940252.0,175924299.0,3457170127.0,309111330371.0,761325115217.0,9.999999999999904e-09
PEPE-USD,2025-04-27 00:00:00-04:00,9.15e-06,9.15e-06,9.1e-06,9.11e-06,3181446728.0,8890112287.0,7328098260.0,316942333694.0,768086321873.0,2.0000000000001506e-08
PEPE-USD,2025-04-27 00:05:00-04:00,9.1e-06,9.1e-06,9.09e-06,9.09e-06,375051796.0,650139184.0,3610873164.0,313767573085.0,766136727109.0,9.999999999999904e-09
PEPE-USD,2025-04-27 00:05:00-04:00,9.1e-06,9.1e-06,9.09e-06,9.1e-06,523327908.0,3796205822.0,1941212404.0,314289321460.0,768406888429.0,9.999999999999904e-09
PEPE-USD,2025-04-27 00:05:00-04:00,9.1e-06,9.11e-06,9.09e-06,9.11e-06,905173307.0,3085403295.0,1118024375.0,314236424001.0,765763926662.0,9.999999999999904e-09
PEPE-USD,2025-04-27 00:05:00-04:00,9.1e-06,9.11e-06,9.09e-06,9.11e-06,1143085905.0,2486677006.0,2304979700.0,313013042833.0,769075541238.0,9.999999999999904e-09
PEPE-USD,2025-04-27 00:05:00-04:00,9.1e-06,9.12e-06,9.09e-06,9.11e-06,1226699420.0,2928692342.0,3500908237.0,315852616339.0,767905767544.0,1.0000000000001598e-08
PEPE-USD,2025-04-27 00:10:00-04:00,9.11e-06,9.11e-06,9.11e-06,9.11e-06,310220539.0,484317643.0,3642619064.0,316514883971.0,766494945744.0,9.999999999999904e-09
PEPE-USD,2025-04-27 00:10:00-04:00,9.11e-06,9.11e-06,9.1e-06,9.11e-06,614221606.0,4539246254.0,1514150075.0,315657948031.0,766524944735.0,9.999999999999904e-09
PEPE-USD,2025-04-27 00:10:00-04:00,9.11e-06,9.11e-06,9.09e-06,9.09e-06,4002099293.0,777227578.0,3300140618.0,311891426302.0,767437374899.0,9.999999999999904e-09
PEPE-USD,2025-04-27 00:10:00-04:00,9.11e-06,9.11e-06,9.09e-06,9.09e-06,4647408042.0,7725973383.0,337849642.0,314276037685.0,768347292832.0,9.999999999999904e-09
