Symbol,Datetime,Open,High,Low,Close,Volume,Best_Bid_Size,Best_Ask_Size,Total_Bid_Depth,Total_Ask_Depth,Spread
XLM-USD,2025-04-27 17:30:00-04:00,0.286165,0.286581,0.286143,0.286508,32943.60415967,101.44542689,550.21371167,69197634.93863684,77842679.97328076,0.0001019999999999
XLM-USD,2025-04-27 17:30:00-04:00,0.286165,0.286581,0.286143,0.28633,49809.52928491,60.67600178,550.37068296,69208944.26436538,77756837.9220594,8.500000000000174e-05
XLM-USD,2025-04-27 17:35:00-04:00,0.28634,0.28644,0.286076,0.286307,70599.37308771,54.99897394,5063.14950565,69240641.83070461,77772144.00657384,6.399999999995298e-05
XLM-USD,2025-04-27 17:35:00-04:00,0.28634,0.286554,0.286076,0.286454,99654.56183391,550.30755957,4027.10819152,69272926.66186245,77823427.38975745,4.699999999996374e-05
XLM-USD,2025-04-27 17:35:00-04:00,0.28634,0.286654,0.286076,0.286628,113732.11843044,550.40546647,103.71633523,69232210.78271857,77781864.25011918,5.300000000002525e-05
XLM-USD,2025-04-27 17:35:00-04:00,0.28634,0.286671,0.286076,0.286667,115102.65106294,628.95784652,51.06338861,69166590.06167921,77745964.72457998,7.399999999996298e-05
XLM-USD,2025-04-27 17:35:00-04:00,0.28634,0.286678,0.285873,0.285964,190255.42239181,551.78021898,386.8428978,69163916.05406797,77914389.20703162,8.399999999997299e-05
XLM-USD,2025-04-27 17:40:00-04:00,0.285849,0.286094,0.285846,0.286094,18882.38871855,418.49620191,218.45706332,69205250.24355453,77847844.71935788,8.099999999999774e-05
XLM-USD,2025-04-27 17:40:00-04:00,0.285849,0.286417,0.285846,0.286417,126088.91685892,550.94761664,155.80412045,69173014.2680643,77883665.67892517,0.0001519999999999
XLM-USD,2025-04-27 17:40:00-04:00,0.285849,0.286979,0.285846,0.286707,329057.34048225,338.57348031,600.0,68507511.8818537,77845590.9099248,0.0001079999999999
XLM-USD,2025-04-27 17:40:00-04:00,0.285849,0.286979,0.285846,0.286593,345567.16753107,244.75652557,550.41005148,68443777.02540183,77718226.91123368,7.699999999999374e-05
XLM-USD,2025-04-27 17:40:00-04:00,0.285849,0.286979,0.285846,0.286629,366642.72434954,7287.57525513,515.92052172,68477495.84064406,77807123.08385597,1.4999999999987246e-05
XLM-USD,2025-04-27 17:45:00-04:00,0.286663,0.286663,0.286593,0.286593,22825.15320485,7325.77744378,90.44426601,68517787.37927252,77835131.31048208,3.399999999997849e-05
XLM-USD,2025-04-27 17:45:00-04:00,0.286663,0.286706,0.286593,0.286694,47930.98937424,32.35614,722.56998436,68484984.6499965,77829864.71326835,4.700000000001925e-05
XLM-USD,2025-04-27 17:45:00-04:00,0.286663,0.286765,0.286593,0.286652,50820.31174294,533.3220742,340.25862987,68476492.80776854,77771070.83483821,8.700000000000374e-05
XLM-USD,2025-04-27 17:45:00-04:00,0.286663,0.286843,0.286593,0.286806,56550.08272871,568.44936937,23.12571885,68622511.87982807,77959930.16888715,7.299999999998974e-05
XLM-USD,2025-04-27 17:45:00-04:00,0.286663,0.286843,0.286593,0.286703,65894.96410466,533.37231002,8.72712659,68601521.45494562,77910735.58683935,9.1999999999981e-05
XLM-USD,2025-04-27 17:50:00-04:00,0.286661,0.286801,0.286661,0.286733,14638.5210673,533.20489408,9.06999024,68627744.96837762,78014793.54812306,5.6000000000000494e-05
XLM-USD,2025-04-27 17:50:00-04:00,0.286661,0.286834,0.286661,0.286717,40455.5327416,533.21047292,16.75448113,68672886.22750944,78018545.54547037,5.8000000000002494e-05
XLM-USD,2025-04-27 17:50:00-04:00,0.286661,0.286834,0.28665,0.286802,62710.6766515,549.97738798,448.68695682,68654178.71719632,78015531.87394093,9.099999999995224e-05
XLM-USD,2025-04-27 17:50:00-04:00,0.286661,0.286963,0.28665,0.286956,134682.71562193,1147.0477455,549.42069515,68683865.75369608,77880950.24989124,6.499999999998174e-05
XLM-USD,2025-04-27 17:50:00-04:00,0.286661,0.287094,0.28665,0.28705,149740.51461292,366.56912762,600.0,68620522.929719,77950215.2748389,4.300000000001525e-05
XLM-USD,2025-04-27 17:55:00-04:00,0.287044,0.287091,0.287011,0.287089,2319.02253575,551.69057995,412.32642728,68678468.43769029,78009472.66101687,6.40000000000085e-05
XLM-USD,2025-04-27 17:55:00-04:00,0.287044,0.287091,0.28673,0.286766,17512.75915691,550.10977718,392.30176639,68583944.40976605,77782224.01182714,8.900000000000574e-05
XLM-USD,2025-04-27 17:55:00-04:00,0.287044,0.287091,0.286642,0.28673,19566.28142921,1791.82034015,330.20151949,68560702.44505054,77779395.48456702,5.199999999999649e-05
XLM-USD,2025-04-27 17:55:00-04:00,0.287044,0.287091,0.286619,0.28686,31647.65236471,997.39511948,600.0,69427966.5424546,77860971.31502852,9.5999999999985e-05
XLM-USD,2025-04-27 17:55:00-04:00,0.287044,0.287091,0.286619,0.286628,112141.60147681,8.61792248,204.0680115,68600779.07540782,78009271.22541422,3.700000000000925e-05
XLM-USD,2025-04-27 18:00:00-04:00,0.286456,0.286854,0.286438,0.286854,12561.09052969,55.68686104,540.00377508,68667870.00711213,77905537.9337647,9.900000000001574e-05
XLM-USD,2025-04-27 18:00:00-04:00,0.286456,0.286854,0.286,0.286211,236355.98474168,41.76112612,1483.35687607,68558460.2272685,78018171.57847485,6.500000000003725e-05
XLM-USD,2025-04-27 18:00:00-04:00,0.286456,0.286854,0.285423,0.285423,320093.75059218,471.05095951,524.86580972,69330386.30858195,77938149.00163761,9.500000000001174e-05
XLM-USD,2025-04-27 18:00:00-04:00,0.286456,0.286854,0.285033,0.285087,371583.19327441,322.90367554,1743.84007157,69273093.3536543,77770603.5221636,0.000206
XLM-USD,2025-04-27 18:00:00-04:00,0.286456,0.286854,0.28459,0.284646,457243.76365774,48.85197276,545.23682085,69089143.57132155,77823678.82857709,8.40000000000285e-05
XLM-USD,2025-04-27 18:05:00-04:00,0.284607,0.284639,0.284379,0.284639,54876.11666201,544.64809101,0.86386305,69382921.72658695,77875870.55226892,4.299999999995974e-05
XLM-USD,2025-04-27 18:05:00-04:00,0.284607,0.285158,0.284379,0.285137,75211.9596137,600.0,317.8075458,69389835.00541389,77942280.0558362,0.000147
XLM-USD,2025-04-27 18:05:00-04:00,0.284607,0.285363,0.284379,0.285196,78627.63101134,4.3,350.678,68988615.73887983,77854772.97770321,9.999999999732443e-07
